buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
50.0,1.0,100.0,14.0,2.7235203337160185,100,50.0,36.717193603515625
100.0,2.0,100.0,0.0,139.189348837518,200,100.0,37.43564033508301
150.0,3.0,100.0,13.0,145.1496067678972,300,150.0,38.12458610534668
200.0,4.0,100.0,0.0,144.69299124695,400,200.0,38.81570553779602
250.0,5.0,100.0,0.0,135.63742868960261,500,250.0,39.552966356277466
300.0,6.0,100.0,0.0,130.84114715099545,600,300.0,40.31725311279297
350.0,7.0,100.0,0.0,145.25013834817474,700,350.0,41.00572180747986
400.0,8.0,100.0,0.0,145.6609450675083,800,400.0,41.692249059677124
450.0,9.0,100.0,0.0,147.79797333416025,900,450.0,42.368849992752075
500.0,10.0,100.0,0.0,134.89500886048674,1000,500.0,43.110169410705566
550.0,11.0,100.0,0.0,136.03718728958577,1100,550.0,43.845263719558716
600.0,12.0,100.0,0.0,145.19829693426706,1200,600.0,44.53397846221924
650.0,13.0,100.0,9.0,145.53388396717293,1300,650.0,45.221105098724365
700.0,14.0,100.0,0.0,133.08326239140968,1400,700.0,45.97251605987549
750.0,15.0,100.0,0.0,135.04345933470964,1500,750.0,46.713019132614136
800.0,16.0,100.0,0.0,130.89247279278516,1600,800.0,47.47700643539429
850.0,17.0,100.0,0.0,130.4760506387077,1700,850.0,48.24343204498291
900.0,18.0,100.0,0.0,131.67664268362287,1800,900.0,49.002869606018066
950.0,19.0,100.0,0.0,130.69466001129862,1900,950.0,49.7680127620697
1000.0,20.0,100.0,0.0,133.0983812614616,2000,1000.0,50.519338607788086
1050.0,21.0,100.0,0.0,3.9192743689502865,2100,1050.0,76.03426694869995
1100.0,22.0,100.0,0.0,77.66546461190914,2200,1100.0,77.32184195518494
1150.0,23.0,100.0,0.0,78.53454745359795,2300,1150.0,78.5951681137085
1200.0,24.0,100.0,0.0,76.73853048863936,2400,1200.0,79.89829587936401
1250.0,25.0,100.0,0.0,77.97953566682358,2500,1250.0,81.18068504333496
1300.0,26.0,100.0,0.0,78.18183919418522,2600,1300.0,82.4597556591034
1350.0,27.0,100.0,0.0,75.89047232876395,2700,1350.0,83.77744507789612
1400.0,28.0,100.0,0.0,74.7728542512792,2800,1400.0,85.11483001708984
1450.0,29.0,100.0,0.0,75.68796801918877,2900,1450.0,86.43604588508606
1500.0,30.0,100.0,0.0,76.56236880015713,3000,1500.0,87.74217176437378
1550.0,31.0,100.0,0.0,78.6884261729429,3100,1550.0,89.01300764083862
1600.0,32.0,100.0,0.0,80.14027544169014,3200,1600.0,90.26082110404968
1650.0,33.0,100.0,0.0,77.66171129268307,3300,1650.0,91.54845833778381
1700.0,34.0,100.0,0.0,75.22798579560384,3400,1700.0,92.87775206565857
1750.0,35.0,100.0,0.0,76.51158718113362,3500,1750.0,94.18474507331848
1800.0,36.0,100.0,0.0,75.40877619743658,3600,1800.0,95.51085186004639
1850.0,37.0,100.0,0.0,76.21991176285658,3700,1850.0,96.82284593582153
1900.0,38.0,100.0,0.0,71.37108829617706,3800,1900.0,98.22397494316101
1950.0,39.0,100.0,0.0,75.23925389021892,3900,1950.0,99.55306935310364
2000.0,40.0,100.0,0.0,78.84277570367341,4000,2000.0,100.82141780853271
2050.0,41.0,100.0,0.0,3.9590571787536066,4100,2050.0,126.07995891571045
2100.0,42.0,100.0,0.0,75.82587995214313,4200,2100.0,127.39877080917358
2150.0,43.0,100.0,0.0,75.21302536363777,4300,2150.0,128.72832870483398
2200.0,44.0,100.0,0.0,75.56968185379858,4400,2200.0,130.0516119003296
2250.0,45.0,100.0,0.0,75.08257320870601,4500,2250.0,131.38348007202148
2300.0,46.0,100.0,0.0,78.9812644936781,4600,2300.0,132.64960432052612
2350.0,47.0,100.0,0.0,77.68110015431378,4700,2350.0,133.93691992759705
2400.0,48.0,100.0,0.0,74.0241529975756,4800,2400.0,135.2878315448761
2450.0,49.0,100.0,0.0,72.08575692808377,4900,2450.0,136.67506957054138
2500.0,50.0,100.0,0.0,75.63533858246134,5000,2500.0,137.9972038269043
2550.0,51.0,100.0,0.0,75.76280698737504,5100,2550.0,139.31711435317993
2600.0,52.0,100.0,12.0,78.73120180081285,5200,2600.0,140.58726024627686
2650.0,53.0,100.0,0.0,77.17584125965985,5300,2650.0,141.88300442695618
2700.0,54.0,100.0,0.0,74.92432191615158,5400,2700.0,143.21768522262573
2750.0,55.0,100.0,0.0,77.22698263236913,5500,2750.0,144.51257061958313
2800.0,56.0,100.0,0.0,74.97855293300596,5600,2800.0,145.84628701210022
2850.0,57.0,100.0,0.0,75.92667180893498,5700,2850.0,147.163348197937
2900.0,58.0,100.0,0.0,76.7573206060351,5800,2900.0,148.46615719795227
2950.0,59.0,100.0,0.0,77.15637731995022,5900,2950.0,149.76222777366638
3000.0,60.0,100.0,0.0,77.32553423388744,6000,3000.0,151.05546307563782
3050.0,61.0,100.0,0.0,3.9292396172122546,6100,3050.0,176.5056812763214
3100.0,62.0,100.0,0.0,76.19093291887307,6200,3100.0,177.8181746006012
3150.0,63.0,100.0,0.0,76.74576176907202,6300,3150.0,179.12117910385132
3200.0,64.0,100.0,0.0,74.79240104366532,6400,3200.0,180.45821499824524
3250.0,65.0,100.0,0.0,74.96290105775103,6500,3250.0,181.79220938682556
3300.0,66.0,100.0,0.0,74.32899200073155,6600,3300.0,183.13758087158203
3350.0,67.0,100.0,12.0,74.88044812182241,6700,3350.0,184.47304391860962
3400.0,68.0,100.0,0.0,72.70058594782543,6800,3400.0,185.84854984283447
3450.0,69.0,100.0,0.0,73.81519275473855,6900,3450.0,187.2032859325409
3500.0,70.0,100.0,0.0,75.24832479659847,7000,3500.0,188.53222012519836
3550.0,71.0,100.0,0.0,73.4867624787037,7100,3550.0,189.8930103778839
3600.0,72.0,100.0,14.0,76.06400737589671,7200,3600.0,191.20769381523132
3650.0,73.0,100.0,15.0,76.9600170863075,7300,3650.0,192.50707125663757
3700.0,74.0,100.0,0.0,74.82816103765614,7400,3700.0,193.84346771240234
3750.0,75.0,100.0,0.0,75.26878285704544,7500,3750.0,195.17204070091248
3800.0,76.0,100.0,0.0,72.39807007708092,7600,3800.0,196.55329513549805
3850.0,77.0,100.0,0.0,73.18512645417415,7700,3850.0,197.91969418525696
3900.0,78.0,100.0,0.0,75.17719310068927,7800,3900.0,199.24988675117493
3950.0,79.0,100.0,0.0,75.82334405159807,7900,3950.0,200.5687427520752
4000.0,80.0,100.0,0.0,75.35802348470203,8000,4000.0,201.89574241638184
4050.0,81.0,100.0,0.0,3.943243298584602,8100,4050.0,227.2555787563324
